"a" 4.17 1.75 5.67800816326531
"b" 5.58 1.8 9.61
"c" 5.18 1.65 9.8557943067034
"d" 6.11 1.9 10.3413019390582
"e" 4.5 1.74 6.6884661117717
"f" 4.61 1.91 5.82552561607412
"g" 5.17 1.75 8.72780408163265
"h" 4.53 1.8 6.33361111111111
"i" 5.33 1.65 10.4348576675849
"j" 5.14 1.9 7.3184487534626
"k" 4.81 1.74 7.641729422645
"l" 4.17 1.91 4.76656341657301
"m" 4.41 1.75 6.3504
"n" 3.59 1.8 3.97780864197531
"o" 5.87 1.65 12.6563452708907
"p" 3.83 1.9 4.06340720221607
"q" 6.03 1.74 12.0098097502973
"r" 4.89 1.91 6.55467229516735
"s" 4.32 1.75 6.09384489795918
"t" 4.69 1.8 6.78891975308642
